"category","count","indicator","year","geoLevel"
"E12000002",2,"employment_rate","2012","parentcd"
"E12000003",1,"employment_rate","2012","parentcd"
"E12000004",4,"employment_rate","2012","parentcd"
"E12000005",3,"employment_rate","2012","parentcd"
"E12000006",5,"employment_rate","2012","parentcd"
"E12000007",1,"employment_rate","2012","parentcd"
"E12000008",11,"employment_rate","2012","parentcd"
"E12000009",4,"employment_rate","2012","parentcd"
"K02000001",1,"employment_rate","2012","parentcd"
"N92000002",11,"employment_rate","2012","parentcd"
"S92000003",3,"employment_rate","2012","parentcd"
"E12000002",2,"employment_rate","2013","parentcd"
"E12000003",1,"employment_rate","2013","parentcd"
"E12000004",4,"employment_rate","2013","parentcd"
"E12000005",3,"employment_rate","2013","parentcd"
"E12000006",5,"employment_rate","2013","parentcd"
"E12000007",1,"employment_rate","2013","parentcd"
"E12000008",11,"employment_rate","2013","parentcd"
"E12000009",4,"employment_rate","2013","parentcd"
"K02000001",1,"employment_rate","2013","parentcd"
"N92000002",11,"employment_rate","2013","parentcd"
"S92000003",3,"employment_rate","2013","parentcd"
"E12000002",2,"employment_rate","2014","parentcd"
"E12000003",1,"employment_rate","2014","parentcd"
"E12000004",4,"employment_rate","2014","parentcd"
"E12000005",3,"employment_rate","2014","parentcd"
"E12000006",5,"employment_rate","2014","parentcd"
"E12000007",1,"employment_rate","2014","parentcd"
"E12000008",11,"employment_rate","2014","parentcd"
"E12000009",4,"employment_rate","2014","parentcd"
"K02000001",1,"employment_rate","2014","parentcd"
"N92000002",11,"employment_rate","2014","parentcd"
"S92000003",3,"employment_rate","2014","parentcd"
"E12000002",2,"employment_rate","2015","parentcd"
"E12000003",1,"employment_rate","2015","parentcd"
"E12000004",4,"employment_rate","2015","parentcd"
"E12000005",3,"employment_rate","2015","parentcd"
"E12000006",5,"employment_rate","2015","parentcd"
"E12000008",11,"employment_rate","2015","parentcd"
"E12000009",4,"employment_rate","2015","parentcd"
"K02000001",1,"employment_rate","2015","parentcd"
"N92000002",11,"employment_rate","2015","parentcd"
"S92000003",3,"employment_rate","2015","parentcd"
"E12000002",2,"employment_rate","2016","parentcd"
"E12000003",1,"employment_rate","2016","parentcd"
"E12000004",4,"employment_rate","2016","parentcd"
"E12000005",3,"employment_rate","2016","parentcd"
"E12000006",5,"employment_rate","2016","parentcd"
"E12000008",11,"employment_rate","2016","parentcd"
"E12000009",4,"employment_rate","2016","parentcd"
"K02000001",1,"employment_rate","2016","parentcd"
"N92000002",11,"employment_rate","2016","parentcd"
"S92000003",3,"employment_rate","2016","parentcd"
"E12000002",2,"employment_rate","2017","parentcd"
"E12000003",1,"employment_rate","2017","parentcd"
"E12000004",4,"employment_rate","2017","parentcd"
"E12000005",3,"employment_rate","2017","parentcd"
"E12000006",5,"employment_rate","2017","parentcd"
"E12000008",11,"employment_rate","2017","parentcd"
"E12000009",4,"employment_rate","2017","parentcd"
"K02000001",1,"employment_rate","2017","parentcd"
"N92000002",11,"employment_rate","2017","parentcd"
"S92000003",3,"employment_rate","2017","parentcd"
"E12000002",2,"employment_rate","2018","parentcd"
"E12000003",1,"employment_rate","2018","parentcd"
"E12000004",4,"employment_rate","2018","parentcd"
"E12000005",3,"employment_rate","2018","parentcd"
"E12000006",5,"employment_rate","2018","parentcd"
"E12000008",11,"employment_rate","2018","parentcd"
"E12000009",4,"employment_rate","2018","parentcd"
"K02000001",1,"employment_rate","2018","parentcd"
