"areacd","year","value"
"K02000001","2010",74.88
"E92000001","2010",72.18
"E12000001","2010",63.91
"E06000047","2010",50.69
"E06000005","2010",70.23
"E06000001","2010",60.04
"E06000002","2010",74.49
"E06000057","2010",74.49
"E06000003","2010",54.99
"E06000004","2010",52.4
"E08000037","2010",64.81
"E08000021","2010",65.31
"E08000022","2010",47.22
"E08000023","2010",56.27
"E08000024","2010",47.52
"E12000002","2010",62.74
"E06000008","2010",68.49
"E06000009","2010",49.15
"E06000049","2010",63.34
"E06000050","2010",69.77
"E06000006","2010",69.71
"E06000007","2010",75.09
"E10000006","2010",73.55
"E08000001","2010",61.91
"E08000002","2010",61.29
"E08000003","2010",67.84
"E08000004","2010",66.84
"E08000005","2010",56.26
"E08000006","2010",68.25
"E08000007","2010",66.39
"E08000008","2010",57.33
"E08000009","2010",57.56
"E08000010","2010",60.75
"E10000017","2010",60.7
"E08000011","2010",62.24
"E08000012","2010",67.84
"E08000014","2010",58.19
"E08000013","2010",67.54
"E08000015","2010",57.36
"E12000003","2010",69.83
"E06000011","2010",63.95
"E06000010","2010",52.01
"E06000012","2010",65.39
"E06000013","2010",62.04
"E06000014","2010",71.69
"E10000023","2010",79.97
"E08000016","2010",51.5
"E08000017","2010",51.99
"E08000018","2010",54.09
"E08000019","2010",63.26
"E08000032","2010",67.65
"E08000033","2010",60.32
"E08000034","2010",70.9
"E08000035","2010",58.82
"E08000036","2010",58.04
"E12000004","2010",69.35
"E06000015","2010",70.14
"E06000016","2010",66.07
"E06000061","2010",70.55
"E06000018","2010",65.22
"E06000017","2010",68.86
"E06000062","2010",56.58
"E10000007","2010",65.56
"E10000018","2010",78.09
"E10000019","2010",58.99
"E10000024","2010",63.44
"E12000005","2010",56.99
"E06000019","2010",68.7
"E06000051","2010",76.01
"E06000021","2010",56.96
"E06000020","2010",59.33
"E10000028","2010",63.71
"E10000031","2010",65.76
"E08000025","2010",66.97
"E08000026","2010",59.09
"E08000027","2010",59.66
"E08000028","2010",66.41
"E08000029","2010",75.25
"E08000030","2010",58.24
"E08000031","2010",63.33
"E10000034","2010",58.28
"E12000006","2010",67.99
"E06000055","2010",65.44
"E06000056","2010",56.53
"E06000032","2010",54.68
"E06000031","2010",64.63
"E06000033","2010",76.82
"E06000034","2010",71.86
"E10000003","2010",59.16
"E10000012","2010",69.48
"E10000015","2010",70.59
"E10000020","2010",60.09
"E10000029","2010",71.63
"E12000007","2010",79.85
"E09000007","2010",79.33
"E09000012","2010",69.71
"E09000013","2010",61.01
"E09000014","2010",78.64
"E09000019","2010",76.93
"E09000020","2010",75.65
"E09000022","2010",64.69
"E09000023","2010",59.45
"E09000025","2010",68.12
"E09000028","2010",56.04
"E09000030","2010",52.9
"E09000032","2010",83.34
"E09000033","2010",74.59
"E09000002","2010",72.28
"E09000003","2010",61.11
"E09000004","2010",60.47
"E09000005","2010",64.11
"E09000006","2010",81.83
"E09000008","2010",62.98
"E09000009","2010",65.42
"E09000010","2010",65.84
"E09000011","2010",65.88
"E09000015","2010",60.47
"E09000016","2010",72.66
"E09000017","2010",64.14
"E09000018","2010",77.13
"E09000021","2010",82.27
"E09000024","2010",77.89
"E09000026","2010",75.47
"E09000027","2010",78.03
"E09000029","2010",67.46
"E09000031","2010",62.01
"E12000008","2010",64.5
"E06000036","2010",65.62
"E06000043","2010",79.29
"E06000060","2010",72.81
"E06000046","2010",73.33
"E06000035","2010",64.33
"E06000042","2010",67.33
"E06000044","2010",59.28
"E06000038","2010",54.48
"E06000039","2010",68.14
"E06000045","2010",63.84
"E06000037","2010",60.5
"E06000040","2010",74.27
"E06000041","2010",63.2
"E10000011","2010",60.1
"E10000014","2010",56.8
"E10000016","2010",66.4
"E10000025","2010",63.84
"E10000030","2010",68.5
"E10000032","2010",63.13
"E12000009","2010",71.06
"E06000022","2010",58.06
"E06000058","2010",71.1
"E06000023","2010",52.31
"E06000052","2010",78.9
"E06000059","2010",68.77
"E06000024","2010",73.03
"E06000026","2010",66.6
"E06000025","2010",68.8
"E06000030","2010",70.18
"E06000027","2010",55.79
"E06000054","2010",76.3
"E10000008","2010",61.85
"E10000013","2010",57.37
"E10000027","2010",68.55
"W92000004","2010",59.2
"W06000001","2010",61.06
"W06000002","2010",79.07
"W06000003","2010",63.73
"W06000004","2010",76.55
"W06000005","2010",69.74
"W06000006","2010",57.45
"W06000023","2010",60.99
"W06000008","2010",65.72
"W06000009","2010",73.48
"W06000010","2010",55.57
"W06000011","2010",71.47
"W06000012","2010",64.21
"W06000013","2010",71.46
"W06000014","2010",78.67
"W06000015","2010",74.3
"W06000016","2010",69.2
"W06000024","2010",60.97
"W06000018","2010",68
"W06000019","2010",48.72
"W06000020","2010",57.84
"W06000021","2010",79.83
"W06000022","2010",63.21
"S92000003","2010",76.1
"S12000033","2010",57.67
"S12000034","2010",66.94
"S12000041","2010",61.15
"S12000035","2010",55.05
"S12000036","2010",67.09
"S12000005","2010",53.25
"S12000006","2010",59.57
"S12000042","2010",65.67
"S12000008","2010",62.13
"S12000045","2010",77.48
"S12000010","2010",72.86
"S12000011","2010",74.83
"S12000014","2010",71.95
"S12000047","2010",54.99
"S12000049","2010",56.21
"S12000017","2010",63.63
"S12000018","2010",73.96
"S12000019","2010",66.51
"S12000020","2010",52.88
"S12000013","2010",57.76
"S12000021","2010",58.05
"S12000050","2010",63.03
"S12000023","2010",74.66
"S12000048","2010",73.2
"S12000038","2010",73.23
"S12000026","2010",56.05
"S12000027","2010",76.24
"S12000028","2010",57.91
"S12000029","2010",59.13
"S12000030","2010",58.95
"S12000039","2010",53.13
"S12000040","2010",69.97
"N92000002","2010",75.46
"N09000001","2010",64.41
"N09000002","2010",72.04
"N09000003","2010",74.3
"N09000004","2010",66.85
"N09000005","2010",71.63
"N09000006","2010",58.87
"N09000007","2010",59.09
"N09000008","2010",64.46
"N09000009","2010",56.75
"N09000010","2010",69.19
"N09000011","2010",54.64
